iter	Passed	Remaining
411	3841	820
412	3849	810
413	3858	801
414	3866	791
415	3877	782
416	3885	773
417	3893	763
418	3901	754
419	3912	745
420	3920	735
421	3927	725
422	3936	716
423	3943	706
424	3953	697
425	3961	688
426	3969	678
427	3977	669
428	3985	659
429	3993	650
430	4001	640
431	4009	631
432	4018	621
433	4025	612
434	4034	602
435	4043	593
436	4053	584
437	4060	574
438	4069	565
439	4078	556
440	4086	546
441	4094	537
442	4102	527
443	4111	518
444	4120	509
445	4130	500
446	4138	490
447	4147	481
448	4155	472
449	4164	462
450	4173	453
451	4182	444
452	4191	434
453	4199	425
454	4207	416
455	4217	406
456	4225	397
457	4232	388
458	4240	378
459	4248	369
460	4256	360
461	4264	350
462	4274	341
463	4284	332
464	4294	323
465	4302	313
466	4310	304
467	4318	295
468	4326	285
469	4333	276
470	4342	267
471	4351	258
472	4361	248
473	4370	239
474	4379	230
475	4387	221
476	4395	211
477	4404	202
478	4412	193
479	4421	184
480	4430	175
481	4439	165
482	4448	156
483	4456	147
484	4464	138
485	4471	128
486	4479	119
487	4486	110
488	4495	101
489	4504	91
490	4512	82
491	4521	73
492	4528	64
493	4537	55
494	4547	45
495	4556	36
496	4564	27
497	4572	18
498	4580	9
499	4588	0
