iter	MAE	RMSE
189	37.66637753	52.73099913
190	37.64926746	52.70077729
191	37.62919946	52.6745681
192	37.62297382	52.66327602
193	37.60880062	52.64393705
194	37.60055762	52.62893901
195	37.58395718	52.60596054
196	37.57772464	52.59570172
197	37.55927348	52.56957357
198	37.54748927	52.55296948
199	37.52564543	52.52580544
200	37.51237271	52.50346337
201	37.50118004	52.48882563
202	37.49112077	52.47214538
203	37.47519425	52.45195347
204	37.45499217	52.42659141
205	37.44098432	52.40819319
206	37.4264564	52.38487796
207	37.41764746	52.37111541
208	37.40259888	52.35103664
209	37.3877727	52.32937996
210	37.37713009	52.31466372
211	37.37018225	52.30391039
212	37.36040306	52.28867701
213	37.34558633	52.26967105
214	37.33631018	52.25245347
215	37.32480027	52.23677125
216	37.31152644	52.21816324
217	37.30136934	52.20514726
218	37.29017112	52.18610633
219	37.27489996	52.16463914
220	37.26179275	52.1472371
221	37.24362398	52.12646439
222	37.23284026	52.10853279
223	37.22547042	52.09568014
224	37.21493823	52.07907977
225	37.20232818	52.0590626
226	37.18772026	52.03621149
227	37.18071988	52.02476997
228	37.16567164	52.00443602
229	37.15564135	51.98932406
230	37.1433235	51.96902197
231	37.13523993	51.95752704
232	37.12896733	51.94735446
233	37.11673103	51.93317688
234	37.11075213	51.92211888
235	37.09639197	51.90304467
236	37.09011027	51.89225628
237	37.07909949	51.88005663
238	37.07397654	51.87070856
239	37.05662741	51.84641542
240	37.04815515	51.83120727
241	37.03783304	51.81574357
242	37.02405787	51.79659348
243	37.01510708	51.78386782
244	37.00957269	51.77543305
245	37.00240251	51.76268781
246	36.98941742	51.74253353
247	36.98130303	51.72865407
248	36.97511064	51.71594861
249	36.9666919	51.70095954
250	36.95948966	51.68649018
251	36.94324922	51.66843897
252	36.93351052	51.65545651
253	36.92479155	51.64262015
254	36.91952019	51.63488527
255	36.91345159	51.6241597
256	36.90371008	51.60541452
257	36.89785263	51.59406988
258	36.89363746	51.58586719
259	36.88170261	51.56839242
260	36.87148828	51.55246966
261	36.86329229	51.53890129
262	36.84874818	51.5204305
263	36.83532322	51.50177894
264	36.82821265	51.48989785
265	36.82229882	51.48084235
266	36.81667353	51.47162269
267	36.80136854	51.45617672
268	36.79406851	51.44511907
269	36.78951585	51.43835331
270	36.78276977	51.42820006
271	36.7730542	51.41298477
272	36.76246753	51.40048282
273	36.75290488	51.38755978
274	36.74088296	51.37143641
275	36.73340797	51.36085115
276	36.71998616	51.34219937
277	36.7128199	51.33087061
278	36.70826559	51.32223327
279	36.69580619	51.30878867
280	36.67687995	51.28182534
281	36.66983508	51.26918659
282	36.66406785	51.25786261
283	36.65818455	51.24872581
284	36.65022019	51.23654394
285	36.64053912	51.22405151
286	36.63004823	51.20899296
287	36.61625216	51.18993956
288	36.61029833	51.18020165
289	36.59820721	51.16498528
290	36.59305673	51.15660412
291	36.58415625	51.14248678
292	36.5751951	51.13048699
293	36.56399505	51.11596468
294	36.55888787	51.10754499
295	36.54941998	51.09429268
296	36.54182284	51.0817098
297	36.5352782	51.07324923
298	36.53130592	51.06527043
299	36.52566871	51.0551061
300	36.52013307	51.04362245
301	36.51105745	51.03102937
302	36.5046583	51.02060596
303	36.49878005	51.00856335
304	36.49380586	50.99842345
305	36.48583815	50.98501786
306	36.47659591	50.97259955
307	36.47067272	50.96275758
308	36.46471706	50.95218958
309	36.45640418	50.93890461
310	36.44748191	50.92518773
311	36.43815615	50.91017529
312	36.43435639	50.90278141
313	36.4239365	50.89144672
314	36.41931471	50.88446489
315	36.41183997	50.87314836
316	36.40555233	50.86288225
317	36.4004454	50.85390378
318	36.39212054	50.84356142
319	36.38221915	50.83146178
320	36.37314959	50.81900037
321	36.36755056	50.81087629
322	36.36266448	50.80318169
323	36.35651317	50.79304319
324	36.34803062	50.78163505
325	36.34318296	50.77178556
326	36.33153442	50.75500872
327	36.32654966	50.74436638
328	36.32082924	50.73411004
329	36.31107842	50.72368119
330	36.3033885	50.71333408
331	36.29635369	50.70375142
332	36.29131911	50.69597919
333	36.28313181	50.68491782
334	36.27786186	50.67805536
335	36.27391298	50.670998
336	36.26714863	50.66160706
337	36.26004345	50.65203363
338	36.25507121	50.6437705
339	36.24902664	50.63497462
340	36.24140655	50.62330845
341	36.23553359	50.6127485
342	36.22213349	50.59867802
343	36.21789746	50.5892971
344	36.21346934	50.58324707
345	36.20822481	50.57356603
346	36.19860995	50.5576551
347	36.19435565	50.55117294
348	36.18792673	50.54137673
349	36.18045416	50.5309747
350	36.17499518	50.52255234
351	36.17028727	50.51395169
352	36.16622455	50.50670571
353	36.16057705	50.49738823
354	36.15438782	50.48707581
355	36.15052208	50.48042096
356	36.14438244	50.47212285
357	36.13721329	50.46161224
358	36.12871561	50.44747687
359	36.12209038	50.43710309
360	36.11769989	50.42852716
361	36.11300223	50.42028172
362	36.1077099	50.41009864
363	36.09865899	50.39794388
364	36.0911808	50.38618518
365	36.08454141	50.37762791
366	36.07868635	50.36911955
367	36.07071217	50.35905703
368	36.05977832	50.34688164
369	36.0501778	50.33376014
370	36.04581536	50.32597777
371	36.03917846	50.31581714
372	36.02972415	50.30108558
373	36.02378616	50.29283972
374	36.01719462	50.28350798
375	36.00941046	50.27205789
376	36.0050427	50.26338054
377	35.99647635	50.25217568
378	35.99305	50.24564928
379	35.98496208	50.23639997
380	35.98064042	50.22867888
381	35.9762458	50.22251607
382	35.96898855	50.21095782
383	35.95877644	50.19938871
384	35.95319047	50.19164874
385	35.94857414	50.18236177
386	35.94248918	50.17297162
387	35.93386626	50.16148126
388	35.92536076	50.1482769
389	35.91909102	50.13839429
390	35.91422677	50.12997174
391	35.90892661	50.12234846
392	35.90259261	50.11473707
393	35.89418383	50.10316712
394	35.88765548	50.09458736
395	35.88238248	50.08779854
396	35.87718485	50.07889053
397	35.87013939	50.06925356
398	35.86753175	50.0646975
399	35.86321961	50.05605962
400	35.85960404	50.04917354
401	35.85083089	50.03782575
402	35.84379365	50.02824903
403	35.83742054	50.0210786
404	35.83427674	50.01609349
405	35.82502213	50.00560758
406	35.82103212	49.99724554
407	35.816949	49.9908189
408	35.81417951	49.98618165
409	35.80910864	49.97786004
410	35.80146176	49.96705845
411	35.79724203	49.96037617
412	35.79179748	49.9530023
413	35.78812708	49.94659108
414	35.78487618	49.94070061
415	35.78003137	49.93458843
416	35.77545457	49.92671773
417	35.76900335	49.91812473
418	35.76062897	49.9088181
419	35.75434807	49.90156261
420	35.74767316	49.892405
421	35.74433494	49.88708632
422	35.73791325	49.87847021
423	35.73568013	49.87444252
424	35.73131304	49.86670809
425	35.72584581	49.85964552
426	35.71848475	49.8507464
427	35.7130179	49.84157491
428	35.7091842	49.83633163
429	35.70130477	49.82469228
430	35.69587877	49.81680622
431	35.69281656	49.81143256
432	35.68698135	49.80353744
433	35.68430567	49.79850749
434	35.67647813	49.78652675
435	35.67135883	49.77835207
436	35.66839488	49.77249599
437	35.66277963	49.7656034
438	35.6585646	49.75723144
439	35.65248528	49.75003261
440	35.6451571	49.74068968
441	35.64050111	49.73392405
442	35.63819024	49.73090618
443	35.6327411	49.72309637
444	35.62756345	49.71622973
445	35.62428851	49.70826568
446	35.62039799	49.70018334
447	35.6168875	49.6920638
448	35.61251425	49.68536822
449	35.60653492	49.67645132
450	35.60239164	49.6710131
451	35.59487747	49.66282163
452	35.59060304	49.6568529
453	35.58717526	49.65119704
454	35.58171793	49.64446691
455	35.57722695	49.63726856
456	35.57399555	49.62972826
457	35.56838591	49.62191886
458	35.5633404	49.61512707
459	35.558629	49.60908339
460	35.55627388	49.60460742
461	35.55267758	49.59904945
462	35.54925998	49.59342669
463	35.53840099	49.57749546
464	35.53422707	49.56980374
465	35.52846803	49.56191163
466	35.52318337	49.55288481
467	35.52072734	49.54800845
468	35.51567304	49.53857194
469	35.5103413	49.53115352
470	35.50723697	49.52441942
471	35.5022179	49.51656436
472	35.49857441	49.51004802
473	35.49122324	49.50206363
474	35.4852396	49.49445958
475	35.48001943	49.4862117
476	35.47766013	49.4816624
477	35.47632101	49.47724274
478	35.47339805	49.47170538
479	35.46552319	49.46155633
480	35.46071895	49.45382821
481	35.45576152	49.44838736
482	35.44988184	49.44141388
483	35.44493457	49.4341321
484	35.44011048	49.42660462
485	35.43695053	49.42210455
486	35.43432581	49.41830396
487	35.4325769	49.41393559
488	35.42736105	49.40750967
489	35.42446634	49.40244724
490	35.42188228	49.39589819
491	35.4175135	49.38910422
492	35.40922362	49.37736516
493	35.40281654	49.36992713
494	35.39780038	49.36468203
495	35.39316894	49.35828841
496	35.38640889	49.35028276
497	35.38426992	49.34706153
498	35.37693707	49.33681318
499	35.37353308	49.33085266
