Model,Kendall_Tau,Rank
Ridge,0.9696969696969696,1
CatBoost,0.606060606060606,2
GradientBoosting,0.5757575757575757,3
RandomForest,0.5151515151515151,4
MLPRegressor,0.39393939393939387,5
